,amount_req,app_date,loan_title,risk_score,dti,zip_code,state,emp_len,pol_code,gross_income
0,35000,1/1/2016,credit_card,300.0,1.0,708xx,LA,0,0,35000.0
1,7500,1/1/2016,debt_consolidation,300.0,0.0152,423xx,KY,0,0,493421.05
2,25000,1/1/2016,debt_consolidation,300.0,0.9584999999999999,731xx,OK,0,0,26082.42
3,3500,1/1/2016,moving,300.0,0.1012,068xx,CT,0,0,34584.98
4,35000,1/1/2016,credit_card,621.0,18.674500000000002,770xx,TX,0,0,1874.21
5,1000,1/1/2016,debt_consolidation,300.0,0.047400000000000005,331xx,FL,0,0,21097.05
6,1250,1/1/2016,debt_consolidation,300.0,0.1394,402xx,KY,0,0,8967.0
7,5000,1/1/2016,debt_consolidation,300.0,0.006999999999999999,061xx,CT,0,0,714285.71
8,20000,1/1/2016,credit_card,300.0,0.22469999999999998,018xx,MA,5 years,0,89007.57
9,6000,1/1/2016,major_purchase,300.0,0.12050000000000001,319xx,GA,0,0,49792.53
10,4000,1/1/2016,car,300.0,0.0785,186xx,PA,0,0,50955.41
11,3000,1/1/2016,other,626.0,0.22460000000000002,945xx,CA,0,0,13357.08
12,5000,1/1/2016,vacation,300.0,0.1116,841xx,UT,0,0,44802.87
13,15000,1/1/2016,debt_consolidation,300.0,0.3104,285xx,NC,0,0,48324.74
14,10000,1/1/2016,credit_card,656.0,0.057999999999999996,551xx,MN,0,0,172413.79
15,5000,1/1/2016,debt_consolidation,300.0,0.3583,388xx,MS,0,0,13954.79
16,5000,1/1/2016,debt_consolidation,691.0,0.3848,435xx,OH,0,0,12993.76
17,5000,1/1/2016,credit_card,300.0,0.0975,891xx,NV,0,0,51282.05
18,10000,1/1/2016,debt_consolidation,300.0,0.28600000000000003,799xx,TX,5 years,0,34965.03
19,3000,1/1/2016,debt_consolidation,300.0,0.0746,307xx,GA,0,0,40214.48
20,10000,1/1/2016,credit_card,300.0,0.499,440xx,OH,0,0,20040.08
21,25000,1/1/2016,debt_consolidation,300.0,0.3918,730xx,OK,0,0,63808.07
22,6000,1/1/2016,Debt consolidation,300.0,0.2595,486xx,MI,4 years,0,23121.39
23,10000,1/1/2016,credit_card,300.0,0.0181,750xx,TX,5 years,0,552486.19
24,10000,1/1/2016,home_improvement,735.0,3.7061,465xx,IN,0,0,2698.25
25,5000,1/1/2016,other,527.0,0.0,327xx,FL,0,0,0.0
26,7000,1/1/2016,car,588.0,0.6533,408xx,KY,0,0,10714.83
27,5500,1/1/2016,major_purchase,300.0,0.0158,686xx,NE,0,0,348101.27
28,15000,1/1/2016,debt_consolidation,300.0,0.21100000000000002,761xx,TX,0,0,71090.05
29,35000,1/1/2016,small_business,300.0,0.1459,941xx,CA,0,0,239890.34
30,1000,1/1/2016,car,651.0,0.013300000000000001,466xx,IN,0,0,75187.97
31,15000,1/1/2016,credit_card,300.0,1.2293,356xx,AL,0,0,12202.07
32,2000,1/1/2016,small_business,300.0,0.1073,082xx,NJ,5 years,0,18639.33
33,8000,1/1/2016,debt_consolidation,548.0,0.19920000000000002,532xx,WI,0,0,40160.64
34,13500,1/1/2016,debt_consolidation,300.0,0.4378,385xx,TN,0,0,30836.0
