,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,adjusted_int_rate,installment,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,addr_state,State,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,application_type,annual_inc_joint,dti_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,FicoScore,derived_emp_length,UPB,RiskScorePercent
0,96229241,103340953,5000,5000,5000, 36 months,0.1,10.0,162.49,10+ years,RENT,75000.0,Not Verified,16-Dec,Current,other,NV,28,11.01,0,Oct-90,1,24.0,74.0,4,1,6436,47.30%,9,f,4761.4,4761.4,317.7,317.7,238.6,79.1,0.0,0,0,17-Mar,162.49,17-Apr,17-Mar,0,,INDIVIDUAL,,,0,0,23339,0,1,0,0,40.0,16903,50.0,1,1,3848,50,13600,0,0,1,1,7780,7164.0,47.3,0,0,40.0,314,10,10,1,10.0,,3.0,,0,2,2,2,4,1,3,7,2,4,0.0,0,0,1,100.0,0.0,1,0,47169,23339,13600,33569,40.5,10,6.242615202835762,25.0
1,96249331,103361043,3600,3600,3600, 36 months,0.11,11.0,118.53,10+ years,RENT,89712.0,Not Verified,16-Dec,Current,credit_card,WA,47,20.3,0,Aug-94,0,24.0,,16,0,37317,69.10%,25,f,3430.48,3430.48,231.36,231.36,169.52,61.84,0.0,0,0,17-Mar,118.53,17-Apr,17-Mar,0,,INDIVIDUAL,,,0,0,45497,0,3,1,3,10.0,8180,57.0,0,2,5115,67,54000,0,3,0,5,2844,2586.0,92.7,0,0,117.0,268,16,10,0,23.0,,16.0,,0,8,12,8,10,7,13,18,12,16,0.0,0,0,1,100.0,100.0,0,0,68290,45497,35400,14290,44.95,10,6.309751434034416,25.0
2,96219354,103331068,7000,7000,7000, 36 months,0.05,5.0,210.81,2 years,RENT,85000.0,Not Verified,16-Dec,Current,debt_consolidation,NY,32,12.8,1,Feb-92,0,20.0,30.0,14,1,6565,19.70%,17,w,6639.65,6639.65,416.45,416.45,360.35,56.1,0.0,0,0,17-Mar,210.81,17-Apr,17-Mar,0,,INDIVIDUAL,,,0,0,42606,0,2,0,0,30.0,36041,90.0,2,4,1157,58,33300,0,0,0,4,3043,15577.0,16.7,0,0,70.0,298,9,9,0,9.0,20.0,18.0,20.0,0,4,7,6,7,2,12,15,7,14,0.0,0,0,2,88.2,0.0,0,0,73420,42606,18700,40120,44.95,2,5.89652728561304,50.0
3,93999587,100887184,19200,19200,19200, 36 months,0.14,14.0,656.12,10+ years,MORTGAGE,75000.0,Not Verified,16-Dec,Current,home_improvement,WI,49,16.98,0,3-Dec,0,24.0,,8,0,12802,59.80%,12,w,18330.4,18330.4,1274.93,1274.93,869.6,405.33,0.0,0,0,17-Mar,656.12,17-Apr,17-Mar,0,,INDIVIDUAL,,,0,0,243746,0,2,0,2,15.0,6341,39.0,0,0,4126,57,21400,0,0,0,3,30468,7136.0,53.4,0,0,111.0,80,26,15,3,47.0,,15.0,,0,2,3,2,2,3,3,4,3,8,0.0,0,0,0,100.0,0.0,0,0,277588,24788,15300,16273,43.75,10,6.49867374005305,25.0
4,96429334,103541047,6000,6000,6000, 36 months,0.07,7.0,186.61,5 years,RENT,60000.0,Verified,16-Dec,Current,small_business,GA,10,20.06,0,3-Mar,0,63.0,,7,0,12442,39.60%,22,w,5700.75,5700.75,366.98,366.98,299.25,67.73,0.0,0,0,17-Mar,186.61,17-Apr,17-Mar,0,63.0,INDIVIDUAL,,,0,0,45718,0,2,1,1,8.0,33276,84.0,0,5,4910,64,31400,3,0,4,6,6531,14182.0,40.7,0,0,165.0,138,15,8,1,94.0,71.0,9.0,71.0,2,3,4,3,7,8,5,13,4,7,0.0,0,0,1,90.9,33.3,0,0,70949,45718,23900,39549,44.95,5,6.033630069238378,50.0
5,96379251,103490963,10000,10000,10000, 36 months,0.11,11.0,329.24,< 1 year,MORTGAGE,52000.0,Source Verified,16-Dec,Current,credit_card,LA,18,29.93,0,3-Sep,0,24.0,,11,0,9454,51.10%,18,w,9529.13,9529.13,642.66,642.66,470.87,171.79,0.0,0,0,17-Mar,329.24,17-Apr,17-Mar,0,,INDIVIDUAL,,,0,0,30560,0,4,0,1,17.0,21106,42.0,0,1,8426,44,18500,0,0,0,2,2778,5118.0,64.7,0,0,93.0,159,14,14,0,14.0,,,,0,3,4,5,6,7,7,11,4,11,0.0,0,0,0,100.0,40.0,0,0,68774,30560,14500,50274,44.95,0,6.3120637105496025,25.0
6,96299328,103411041,10000,10000,10000, 36 months,0.05,5.0,301.15,10+ years,RENT,170000.0,Not Verified,16-Dec,Current,other,CA,5,16.24,3,Jun-94,0,5.0,,6,0,648,36%,35,w,9485.23,9485.23,594.91,594.91,514.77,80.14,0.0,0,0,17-Mar,301.15,17-Apr,17-Mar,0,5.0,INDIVIDUAL,,,0,0,170524,1,3,1,1,6.0,58932,60.0,0,1,535,59,1800,5,0,4,2,28421,65.0,89.2,0,0,165.0,270,17,6,2,17.0,22.0,8.0,5.0,6,1,2,1,13,11,2,22,2,6,0.0,0,3,1,90.6,100.0,0,0,226523,59580,600,97223,46.25,10,5.893441809703344,50.0
7,96289228,103400941,18000,18000,18000, 36 months,0.08,8.0,563.98,2 years,MORTGAGE,60000.0,Not Verified,16-Dec,Current,debt_consolidation,FL,9,30.76,0,Oct-00,0,24.0,,13,0,2583,17.80%,22,f,17108.78,17108.78,1115.97,1115.97,891.22,224.75,0.0,0,0,17-Mar,563.98,17-Apr,17-Mar,0,,INDIVIDUAL,,,0,0,246149,0,6,0,0,29.0,99711,29.0,0,0,0,38,14500,0,4,0,0,20512,11100.0,0.0,0,0,194.0,188,51,29,3,96.0,,,,0,0,2,2,6,7,5,11,2,13,0.0,0,0,0,100.0,0.0,0,0,297300,114859,11100,127735,44.95,2,6.118641277506448,25.0
8,96289247,103400960,5000,5000,5000, 36 months,0.11,11.0,164.74,10+ years,RENT,60000.0,Source Verified,16-Dec,Current,credit_card,CT,7,16.49,0,5-Jan,1,24.0,,20,0,10377,27.80%,27,f,4764.74,4764.74,321.54,321.54,235.26,86.28,0.0,0,0,17-Mar,164.74,17-Apr,17-Mar,0,,INDIVIDUAL,,,0,0,24036,0,1,0,2,18.0,13489,69.0,2,8,1670,42,37300,6,0,8,10,1265,5110.0,54.4,0,0,110.0,139,9,9,0,9.0,,1.0,,0,8,12,8,9,7,17,18,12,20,0.0,0,0,2,100.0,62.5,0,0,56989,24036,11200,19519,43.95,10,6.312684365781711,25.0
9,96239260,103350973,25000,25000,25000, 60 months,0.29,29.0,788.84,10+ years,RENT,83807.4,Source Verified,16-Dec,Current,debt_consolidation,OH,35,13.17,0,May-99,0,39.0,,13,0,7723,38.60%,25,f,24613.16,24613.16,1517.61,1517.61,386.84,1130.77,0.0,0,0,17-Mar,828.39,17-Apr,17-Mar,0,39.0,INDIVIDUAL,,,0,0,65044,0,3,0,1,17.0,57321,81.0,1,5,3427,62,22000,0,0,1,6,5420,3034.0,62.1,0,0,211.0,90,11,11,1,18.0,47.0,0.0,47.0,1,2,6,3,4,10,10,14,6,13,0.0,0,0,1,77.3,66.7,0,0,85196,65044,8000,63196,43.75,10,5.8055874473784925,50.0
